model,model_2,brand,product,product_parent,product_lang,file_urls,type,url,thumb,source,brand_category
CL4250UFDID/S,,Sub-Zero,"42"" Classic French Door Refrigerator/Freezer with Internal Dispenser",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/classic_ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/builtin-refrigerators/42-inch-built-in-french-door-refrigerator-freezer-dispenser,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/cl4250ufdid-s/cl4250ufdi.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
DEC3650R,,Sub-Zero,"36"" Designer Column Refrigerator - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/designer-series-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/integrated-fridges/36-inch-integrated-column-refrigerator-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/dec3650r/dec3650r.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
ID-30R,,Sub-Zero,"30"" Designer Refrigerator Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/30-inch-refrigerator-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-30r/dynamic_id-30r.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
DET3050FI,,Sub-Zero,"30"" Designer Over-and-Under Freezer with Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/designer-series-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/integrated-fridges/30-inch-integrated-over-under-freezer-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/det3050fi/det3050fi.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
DEC3650RID,,Sub-Zero,"36"" Designer Column Refrigerator with Internal Dispenser - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/designer-series-use-and-care-guide.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/integrated-fridges/36-inch-integrated-column-refrigerator-internal-dispenser-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/dec3650rid/dec3650rid.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
PRO3650,,Sub-Zero,"36"" PRO Refrigerator/Freezer",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/pro-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/full-size-refrigeration/refrigeration/pro3650,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamic-images/pro3650/pro3650.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
ID-36R,,Sub-Zero,"36"" Designer Refrigerator Drawers - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/36-inch-refrigerator-drawers-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-36r/dynamic_id-36r.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
GR304,,Wolf,"30"" Gas Range",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/wolf/granges-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/wolf/ranges/gas-range/30-inch-gas-range,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/gr304/dynamic_gr304.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",wolf
ID-36CI,,Sub-Zero,"36"" Designer Refrigerator/Freezer Drawers with Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/36-inch-refrigerator-freezer-drawers-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-36ci/dynamic_id-36ci.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
ID-24FI,,Sub-Zero,"24"" Designer Freezer Drawers with Ice Maker - Panel Ready",,en,https://www.subzero-wolf.com//-/media/files/united-states/product-downloads/sub-zero-wolf/use-and-care/sub-zero/integrated-ucg.pdf,Use and Care Guide,https://www.subzero-wolf.com/sub-zero/counter-refrigerator/24-inch-freezer-drawers-ice-maker-panel-ready,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/-/media/images/united-states/dynamically-generated-product-images/id-24fi/dynamic_id-24fi.png,"Sub-Zero, Wolf, and Cove | Kitchen Appliances that Inspire",sub-zero
